IdNumber_Numero-db|MikanNumber_Numero-MIKAN|Title-Titre|Image-Number_Numero-Image|ImageUrl|Access_Condition-acces|Branch_Service|DateIssued_Date|Description|Location_Endroit|Photographer_Photographe|Subject_Sujet
756|3223903|Infantrymen of the Lincoln and Welland Regiment and a Sherman tank of the 4th Canadian Armoured Division awaiting orders to go through a roadblock, Wertle, Germany, 11 April 1945.|a159062-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159062-v6|Credit: Capt. Alexander M. Stirton / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159062       @Restrictions on use: Nil       @Copyright: Expired|Army|April 11, 1945||Wertle, Germany,|Stirton, Alexander Mackenzie, 1915-|Military - Units - Lincoln and Welland Regiment - 1945/04/11.@Military - Operations - Land - 1945/04/11.@Germany.@Army.
757|3223906|Infantrymen of the Argyll and Sutherland Highlanders of Canada riding on a Kangaroo armoured personnel carrier, Wertle, Germany, 11 April 1945.|a159065-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159065-v6|Credit: Capt. Alexander M. Stirton / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159065       @Restrictions on use: Nil       @Copyright: Expired|Army|April 11, 1945||Wertle, Germany,|Stirton, Alexander Mackenzie, 1915-|Transportation - Land - A.P.C.@Military - Units - Argyll and Sutherland Highlanders.@Army.
758|3223935|Bandmaster P.P. Murphy of the Canadian Armoured Corps conducting a concert for Dutch civilians, Nijmegen, Netherlands, 9 April 1945.|a159565-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159565-v6|Credit: Capt. Jack H. Smith / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159565       @Restrictions on use: Nil       @Copyright: Expired|Army|April 9, 1945.||Nijmegen, Netherlands:|Smith, Jack H.|Murphy, Phil.@Mil. - Personnel - Bands - 1945/04/09.@Army.
759|3223968|Demobilization of high-ranking German officers and officials at an internment camp, Esterwegen, Germany, 8 June 1945.|a159222-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159222-v6|Credit: Lieut. Charles H. Richer / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159222       @Restrictions on use: Nil       @Copyright: Expired|Army|June 8, 1945.||Esterwegen, Germany,:|Richer, Charles H.|Mil. - Prisoners of war - 1945/06/08.@Mil. - Units - 2nd Canadian Corps.@Germany - Esterwegen.@Army.
760|3223969|Demobilization of high-ranking German officers and officials at an internment camp, Esterwegen, Netherlands, 8 June 1945.|a159223-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159223-v6|Credit: Lieut. Charles H. Richer / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159223       @Restrictions on use: Nil       @Copyright: Expired|Army|June 8, 1945.||Esterwegen, Germany,:|Richer, Charles H.|Mil. - Prisoners of war - 1945/06/08.@Germany - Esterwegen.@Army.
761|3224033|Infantrymen of The Lincoln and Welland Regiment preparing to pursue German paratroopers, Wertle, Germany, 11 April 1945.|a159249-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159249-v6|Credit: Capt. Alex M. Stirton / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159249       @Restrictions on use: Nil       @Copyright: Expired|Army|April 11, 1945.||Wertle, Germany,:|Stirton, Alexander Mackenzie, 1915-|Mil. - Units - Lincoln and Welland Regiment - 1945/04/11.@Germany - Wertle - Parts.@Army.
762|3224042|Privates R.E. Lodwick and Mac McKinnon of the Lincoln and Welland Regiment resting after driving German paratroops out of Wertle, Germany, 11 April 1945.|a159258-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159258-v6|Credit: Capt. Alexander M. Stirton / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159258       @Restrictions on use: Nil       @Copyright: Expired|Army|April 11, 1945.||Wertle, Germany,:|Stirton, Alexander Mackenzie, 1915-|Lodwick, R.E.@McKinnon, Mac.@Mil. - Units - Lincoln and Welland Regiment - 1945/04/11.@Germany - Wertle - Parts.@Army.
763|3224067|Personnel of "D" Company, South Saskatchewan Regiment, Mook, Netherlands, 30 November 1944.|a159583-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159583-v6|Credit: Lieut. Michael M. Dean / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159583       @Restrictions on use: Nil       @Copyright: Expired|Army|November 30, 1944|(L-R): Captain Harry Burke, Private Gordon Westcott, Lance-Corporal Frank Blight, Privates John Wathen, Mack Stawnychka|Mook, Netherlands,|Dean, Michael M.|Military - Units - South Saskatchewan Regiment - 1944/11/30.@Netherlands - Mook.@Army.
764|3224068|Personnel of "D" Company, South Saskatchewan Regiment, with a six-pounder anti-tank gun, Mook, Netherlands, 30 November 1944.|a159584-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159584-v6|Credit: Lieut. Michael M. Dean / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159584       @Restrictions on use: Nil       @Copyright: Expired|Army|November 30, 1944|(L-R): Private Alvin Hadden, Sergeant Jim Ludgate, Private Jack Clipton, Lieutenant A.D. Lauziere, Company Sergeant-Major Everett Dean, Private Steve Yakubowich, Lieutenant Fred Propp, Major Bill Edmonson|Mook, Netherlands,|Dean, Michael M.|Hadden, Alvin.@Ludgate, Jim.@Clipton, Jack.@Edmonton, Bil.@Yakubowich, Steve.@Propp, Fred.@Military - Units - South Saskatchewan Regiment.@Army.
765|3224069|Officers of The South Saskatchewan Regiment, Mook, Netherlands, 30 November 1944.|a159585-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159585-v6|Credit: Lieut. Michael M. Dean / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159585       @Restrictions on use: Nil       @Copyright: Expired|Army|November 30, 1944.|(Front row, L-R): Major Ken Williams, "A" Company; Major E.W. Thomas, "C" Company; Lieutenant-Colonel Vernon Scott, Commanding Officer; Major G.B. Buchanan, Second-in-Command; Major W.S. Edmondson, "D" Company. (Rear row, L-R): Captain A.M. Matheson, "B" Company; Captains G.S. Haslett and W.G.A. Lane|Mook, Netherlands,:|Dean, Michael M.|Mil. - Units - South Saskatchewan Regiment - 1944/11/30.@Netherlands - Mook.@Army.
766|3224070|Infantrymen of "D" Company, The South Saskatchewan Regiment, with their Universal Carrier, Mook, Netherlands, 30 November 1944.|a159586-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159586-v6|Credit: Lieut. Michael M. Dean / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159586       @Restrictions on use: Nil       @Copyright: Expired|Army|November 30, 1944.|(L-R): Privates Davey Holmes, Jack Rattray, Pete Dukart, Alex Hutchison and Fred Mohl.|Mook, Netherlands,:|Dean, Michael M.|Holmes, Davey.@Rattray, Jack.@Dukart, Pete.@Hutchison, Alex.@Mohl, Fred.@Mil. - Units - South Saskatchewan Regiment - 1944/11/30.@Army.
767|3224071|Officers of "D" Company, The South Saskatchewan Regiment, around a sign which indicates that their location is under enemy observation, Mook, Netherlands, 30 November 1944.|a159587-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159587-v6|Credit: Lieut. Michael M. Dean / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159587       @Restrictions on use: Nil       @Copyright: Expired|Army|November 30, 1944.|(L-R): D.K. MacDonald, Lieutenant E.H. Harriott, Captain Ted Doyle, Lieutenants I. E. Burrows  and J.G. Campbell.|Mook, Netherlands,:|Dean, Michael M.|Edmonson, Bill.@Doyle, R. E.@Devan, Everett.@Mil. - South Saskatchewan Regiment - 1944/11/30.@Netherlands - Mook.@Army.
768|3224072|Major Bill Edmonson, Captain R.E. Doyle and Company Sergeant-Major Everett Dean, all of "D" Company, The South Saskatchewan Regiment, outside the Company’s dugout, Mook, Netherlands, 30 November 1944.|a159588-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159588-v6|Credit: Lieut. Michael M. Dean / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159588       @Restrictions on use: Nil       @Copyright: Expired|Army|November 30, 1944.||Mook, Netherlands,:|Dean, Michael M.|MacDonald, D.K.@Harriott, E.H.@Doyle, Ted.@Burrows, I.E.@Campbell, J.G.@Mil. - Units - South Saskatchewan Regiment - 1944/11/30.@Army.
769|3224073|Infantrymen of "D" Company, The South Saskatchewan Regiment,  enjoying a hot meal, Mook, Netherlands, 30 November 1944.|a159589-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159589-v6|Credit: Lieut. Michael M. Dean / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159589       @Restrictions on use: Nil       @Copyright: Expired|Army|November 30, 1944.|(L-R): Privates Jim Thomson, Can Brown, Fred Harris, Raymond Maubert, Henry Pospisil, Doren Nilsson, Vic Oberg and George Lightfoot.|Mook, Netherlands,:|Dean, Michael M.|Mil. - Units - South Saskatchewan Regiment - 1944/11/30.@Netherlands - Mook.@Army.
770|3224074|Private Art Moir, Captain Ed Shasarosky and Private Doug Robinson, all of "D" Company of The South Saskatchewan Regiment, at the entrance of Regimental Headquarters, Mook, Netherlands, 30 November 1944.|a159590-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159590-v6|Credit: Lieut. Michael M. Dean / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159590       @Restrictions on use: Nil       @Copyright: Expired|Army|November 30, 1944.||Mook, Netherlands,:|Dean, Michael M.|Shasarosky, Ed.@Robinson, Doug.@Moir, Art.@Mil. -Units - South Saskatchewan Regiment - 1944/11/30.@Army.
771|3224075|Privates Art Irvine and Mike Peden, both of "D" Company, The South Saskatchewan Regiment, verifying the quality of a parachute Mook, Netherlands, 30 November 1944.|a159591-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159591-v6|Credit: Lieut. Michael M. Dean / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159591       @Restrictions on use: Nil       @Copyright: Expired|Army|November 30, 1944.||Mook, Netherlands,:|Dean, Michael M.|Irvine, Art.@Peden, Mike.@Mil. - Units - South Saskatchewan Regiment - 1944/11/30.@Netherlands - Mook.@Army.
772|3224076|Private Arnold Hintz giving Sergeant Roy Dais a haircut, Mook, Netherlands, 30 November 1944.|a159592-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159592-v6|Credit: Lieut. Michael M. Dean / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159592       @Restrictions on use: Nil       @Copyright: Expired|Army|November 30, 1944.|Both men are members of "D" Company, The South Saskatchewan Regiment.|Mook, Netherlands,:|Dean, Michael M.|Dais, Roy.@Hintz, Arnold.@Mil. - Units - South Saskatchewan Regiment - 1944/11/30.@Netherlands - Mook.@Army.
773|3224077|Presentation of the Military Medal to Company Sergeant-Major Jim Smith of "D" Company, The South Saskatchewan Regiment, Mook, Netherlands, 30 November 1944.|a159593-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159593-v6|Credit: Lieut. Michael M. Dean / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159593       @Restrictions on use: Nil       @Copyright: Expired|Army|November 30, 1944.|(L-R): Major G.B. Buchanan, Major E.W. Thomas.|Mook, Netherlands,:|Dean, Michael M.|Buchanan.@Thomas.@Smith, Jim.@Mil. - Units - South Saskatchewan Regiment - 1944/11/30.@Netherlands - Mook.@Army.
774|3224163|Major Paul Triquet, V.C., Royal 22e Régiment, Quebec City, Québec, Canada, 12 April 1944.|a157376-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a157376-v6|Credit: Canada.  Dept. of National Defence / Library and Archives Canada / PA-157376       @Restrictions on use: Nil       @Copyright: Expired|Army|April 12, 1944.||Quebec, Québec, Canada,:|Unknown.|Triquet, Paul.@Mil. - Units - Royal 22e Regiment - 1944/04/12.@Army.
775|3224281|Personnel of the Royal Canadian Navy who were serving aboard the cruiser H.M.S. SHEFFIELD, which took part in sinking the German battleship SCHARNHORST on 26 December 1943. London, England, 20 January 1944.|a155895-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a155895-v6|Credit: Lt Richard G. Arless / Canada.  Dept. of National Defence / Library and Archives Canada / PA-155895       @Restrictions on use: Nil       @Copyright: Expired||January 20, 1944.|(L-R): Able Seaman Joe Leclair, Pat Cooke and Earl MacDonald.|London, England,:|Arless, Richard Graham, 1919-|Leclair, Jo.@Cooke, Pat.@MacDonald, Earl.@Mil. - Units - R.C.N. - 1944/01/20.@England - London - Parts.@Royal Canadian Navy (R.C.N.)
776|3224295|Lance-Corporal Don Stover of the 4th Canadian Armoured Division examines German "dumdum" soft-nosed bullets, Sogel, Germany, 10 April 1945.|a159236-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159236-v6|Credit: Capt. Alexander M. Stirton / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159236       @Restrictions on use: Nil       @Copyright: Expired|Army|April 10, 1945||Sogel, Germany,|Stirton, Alexander Mackenzie, 1915-|Stover, Don.@Military - Units - 4th Canadian Armoured Division - 1945/10/30.@Army.
777|3224301|Brigadier R.W. Moncel (left) and Major-General Christopher Vokes, General Officer Commanding 4th Canadian Armoured Division,observing a German counter-attack, Sogel, Germany, 10 April 1945.|a159242-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159242-v6|Credit: Capt. Alex M. Stirton / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159242       @Restrictions on use: Nil       @Copyright: Expired|Army|April 10, 1945.||Sogel, Germany,:|Stirton, Alexander Mackenzie, 1915-|Vokes, Christopher.@Moncell, R.W.@Mil. - Units - 4th Canadian Armoured Division - 1945/10/30.@Army.
778|3224319|Lance-Corporal F. Pemberton of the Cameron Highlanders of Ottawa searches the former German commandant of Borkum Island at the Esterwegen concentration camp, Esterwegen, Germany, 30 October 1945.|a159220-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159220-v6|Credit: Capt. Ken Bell / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159220       @Restrictions on use: Nil       @Copyright: Expired|Army|October 30, 1945||Esterwegen, Germany,|Bell, Ken, 1914-|Pemberton, F.@Military - Personnel - Prisoners of war - 1945/10/30.@Germany - Esterwegen - Parts.@Army.
779|3224483|Lieutenant-General G.G. Simonds, General Officer Commanding 2nd Canadian Corps, inspecting personnel of the Royal Canadian Artillery (R.C.A.), Meppen, Germany, 31 May 1945.|a159372-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159372-v6|Credit: Lieut. Charles H. Richer / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159372       @Restrictions on use: Nil       @Copyright: Expired|Army|May 31, 1945.||Meppen, Germany,:|Richer, Charles H.|Simonds, Guy.@Mil. - Units - 2nd Canadian Corps - 1945/05/31.@Germany - Meppen - Parts.@Army.
780|3224498|A General Motors Staghound T-17E1 armoured car of the 12th Manitoba Dragoons, England, 30 December 1943.|a160727-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a160727-v6|Credit: Park / Canada.  Dept. of National Defence / Library and Archives Canada / PA-160727       @Restrictions on use: Nil       @Copyright: Expired|Army|December 30, 1943.||England,:|Park.|Transportation - Land - A.P.C.@Mil. - Units - 18th Armoured Car Regiment - 1943/12/30.@Army.
781|3224500|Captain D.N. McDonald, 12th Manitoba Dragoons, and Major R.B. MacNeill, The Queen’s Own Cameron Highlanders of Canada, working outside a dugout in the Hochwald, Germany, ca. 10-11 March 1945.|a160729-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a160729-v6|Credit: Capt. Ken Bell / Canada.  Dept. of National Defence / Library and Archives Canada / PA-160729       @Restrictions on use: Nil       @Copyright: Expired|Army|[ca. March 10-11, 1945].||Hochwald, Germany:|Bell, Ken.|McDonald, D.N.@MacNeil, R.B.@Mil. - Units - 18th Armoured Car Regiment - 1945/03/10.@Mil. - Units - Cameron Highlanders - 1945/03/10.@Army.
782|3224531|Personnel of the 4th Canadian Armoured Division Bridging Troop, Royal Canadian Engineers (R.C.E.), constructing a pontoon bridge across the Dortmund-Ems Canal, Meppen, Germany, 8 April 1945.|a159176-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a159176-v6|Credit: Capt. Alexander M. Stirton / Canada.  Dept. of National Defence / Library and Archives Canada / PA-159176       @Restrictions on use: Nil       @Copyright: Expired|Army|April 8, 1945||Meppen, Germany,|Stirton, Alexander Mackenzie, 1915-|Army.
783|3224538|Naval personnel aboard the frigate H.M.C.S. CAPILANO, Londonderry, Northern Ireland, December 1944.|a161252-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a161252-v6|Credit: Lt Franklin Roy Kemp / Canada.  Dept. of National Defence / Library and Archives Canada / PA-161252       @Restrictions on use: Nil       @Copyright: Expired|Navy|December 1944.|(L-R): Leading Wren Monica Hodges, Lieutenants Bill Blackstock and Ray Ostlund, Leading Wren Dorothy Oakes, Lieutenant Doug Otton.|Londonderry, Northern Ireland:|Kemp, Franklin Roy.|Hodges, Monica.@Blackstock, Bill.@Ostlund, Ray.@Oakes, Dorothy.@Otton, Doug.@Transportation - Water - H.M.C.S. CAPILANO.@Royal Canadian Navy (R.C.N.)
784|3224540|Personnel of the frigate H.M.C.S. ROYALMOUNT, Londonderry, Northern Ireland, December 1944.|a161254-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a161254-v6|Credit: Lt Franklin Roy Kemp / Canada.  Dept. of National Defence / Library and Archives Canada / PA-161254       @Restrictions on use: Nil       @Copyright: Expired|Navy|December 1944.|L-R): Able Seamen Alvin Moore, Charles Rutherford and Percy Garrett, Chief Petty Officer Gordon Sears.|Londonderry, Northern Ireland:|Kemp, Franklin Roy.|Moore, Alvin.@Rutherford, Charles.@Garrett, Percy.@Sears, Gordon.@Transportation - Water - H.M.C.S. ROYAL MOUNT.@Royal Canadian Navy (R.C.N.)
785|3224545|Commodore George W.G. Simpson, Royal Navy, Commodore "D", Western Approaches, Londonderry, Northern Ireland, January 1945.|a161259-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a161259-v6|Credit: Lt. Franklin Roy Kemp / Canada.  Dept. of National Defence / Library and Archives Canada / PA-161259       @Restrictions on use: Nil       @Copyright: Expired|Navy|January 1945.||Londonderry, Northern Ireland:|Kemp, Franklin Roy.|Simpson, George W.G.@Royal Canadian Navy (R.C.N.)
786|3224681|An unidentified Bren gunner sitting atop one of the cars of No.1 Armoured Train at Canadian National Railways Transcona Shops, Winnipeg, Manitoba, Canada, 15 July 1942.|a064267-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a064267-v6|Credit: Canada.  Dept. of National Defence / Library and Archives Canada / PA-064267       @Restrictions on use: Nil       @Copyright: Expired|Army|July 15, 1942.||Winnipeg, Manitoba, Canada:|Unknown.|Weapons - Small arms - Machine guns.@Mil. - Ops. - Land - 1942/07/15.@Army.
787|3224709|Personnel of the Women’s Royal Canadian Naval Service (W.R.C.N.S.) drilling on the parade square during initial training at H.M.C.S. CONESTOGA, Galt, Ontario, Canada, December 1943.|a146020-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a146020-v6|Credit: Canada.  Dept. of National Defence / Library and Archives Canada / PA-146020       @Restrictions on use: Nil       @Copyright: Expired|Navy|December 1943.||Galt, Ontario, Canada:|Unknown.|Mil. - Units - W.R.C.N.S. - 1942/12.@Ont. - Galt - Parts.@Royal Canadian Navy (R.C.N.)
788|3224833|War correspondent James Cassidy standing at the entrance to Falaise, France, 18 August 1944.|a160835-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a160835-v6|Credit: Lieut. Ken Bell / Canada.  Dept. of National Defence / Library and Archives Canada / PA-160835       @Restrictions on use: Nil       @Copyright: Expired|Army|August 18, 1944.||Falaise, France:|Bell, Ken.|Cassidy, James.@Mil. - Units - R.C.E. - 1944/08/18.@France - Falaise - Parts.@Army.
789|3224834|Major David V. Currie, V.C., South Alberta Regiment, Breda, Netherlands, 25 November 1944.|a160836-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a160836-v6|Credit: Lieut. Barney J. Gloster / Canada.  Dept. of National Defence / Library and Archives Canada / PA-160836       @Restrictions on use: Nil       @Copyright: Expired|Army|November 25, 1944.||Breda, Netherlands:|Gloster, Barney J.|Currie, D.V.@Mil. - Ops. - Land - 1944/12/25/  2. Netherlands - Breda - Parts.@Army.
790|3224978|Lieutenant-Commander Roland Bourke, V.C., Esquimalt, British Columbia, Canada, 20 May 1941.|a161003-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a161003-v6|Credit: Canada.  Dept. of National Defence / Library and Archives Canada / PA-161003       @Restrictions on use: Nil       @Copyright: Expired|Navy|May 20, 1941.||Esquimalt, British Columbia, Canada:|Unknown.|Bourke, Roland.@Furniture & Furnishings - Office - 1941.@Mil. - Personnel - Crews - 1941/05/20.@Royal Canadian Navy (R.C.N.)
791|3224990|Lance-Corporal Harry Repay of the Scout Platoon, South Saskatchewan Regiment, visiting a Dutch family in their home near Nijmegen, Netherlands, 8 December 1944.|a161302-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a161302-v6|Credit: Lieut. Michael M. Dean / Canada.  Dept. of National Defence / Library and Archives Canada / PA-161302       @Restrictions on use: Nil       @Copyright: Expired|Army|December 8, 1944.||Nijmegen, Netherlands (vicinity):|Dean, Michael M.|Mil. - Units - South Saskatchewan Regiment - 1944/12/08.@Netherlands - Nijmegan - Parts.@Repay, Harry.@Army.
792|3225223|Gunners T. Parenteau and A.J. Landry of a medium regiment of the Royal Canadian Artillery (R.C.A.) fusing 5.5-inch shells near Nijmegen, Netherlands, 8 February 1945.|a161316-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a161316-v6|Credit: Capt. Colin C. McDougall / Canada. Dept. of National Defence / Library and Archives Canada / PA-161316       @Restrictions on use: Nil       @Copyright: Expired|Army|February 8, 1945||Nijmegen, Netherlands (vicinity):|McDougall, Colin Campbell.|Mil. - Ops. - Land - 1945/02/08.@Mil. - Units - 3 Cnd Inf. Div.@Weapons - Ammunition - Shells.@Parenteau, T. GNR.@Landry, A.J. GNR.@Army.
793|3225224|Infantrymen of the 1st  Battalion, The Canadian Scottish Regiment, firing three-inch mortars at German positions on islands in the flooded Rhine River, Niel, Germany, 8 February 1945.|a161317-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a161317-v6|Credit: Capt. Colin C. McDougall / Canada. Dept. of National Defence / Library and Archives Canada / PA-161317       @Restrictions on use: Nil       @Copyright: Expired|Army|February 8, 1945.||Niel, Germany:|McDougall, Colin Campbell.|Mil. - Ops. - Land - 1945/02/08.@Mil. - Units - Cnd Scottish Regiment.@Weapons - Mortars.@Army.
794|3225225|Personnel of the corvette H.M.C.S. REGINA, Halifax, Nova Scotia, Canada, May 1943.|a161297-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a161297-v6|Credit: Lt Gilbert Alexander Milne / Canada.  Dept. of National Defence / Library and Archives Canada / PA-161297       @Restrictions on use: Nil       @Copyright: Expired|Navy|May 1943.|(L-R): Petty Officer W. Cramp, Able Seaman R. Leblanc, Stoker E.W. Barclay, Petty Officer J. Yankoshi, Leading Seaman, B.J. Jenkin,  T.N. Jackson.|Halifax, Nova Scotia, Canada:|Milne, Gilbert Alexander, 1914-|Camp, W.@Stoker, P.O.@Leblanc, R.@Barclay, E.W.@Yankoshi, J.@Jenkins, B.J.@Jackson, T. N.@Royal Canadian Navy (R.C.N.)
795|3225226|Able Seaman J.M. Saulnier of the corvette H.M.C.S. REGINA, Halifax, Nova Scotia, Canada, May 1943.|a161298-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a161298-v6|Credit: Lt Gilbert A. Milne/  Canada.  Dept. of National Defence / Library and Archives Canada / PA-161298       @Restrictions on use: Nil       @Copyright: Expired|Navy|May 1943.||Halifax, Nova Scotia, Canada:|Milne, Gilbert Alexander, 1914-|Saulnier, A.B.@Transportation - Water - H.M.C.S. - REGINA.@Mil. - Units - R.C.N.V.R.@Royal Canadian Navy (R.C.N.)
796|3225278|Personnel of the 2nd Battalion, Royal Canadian Engineers (R.C.E.), cheering at the opening of the world’s longest Bailey bridge, which they helped to build, Zwolle, Netherlands, 3 August 1945.|a161646-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a161646-v6|Credit: Capt. Michael M. Dean / Canada.  Dept. of National Defence / Library and Archives Canada / PA-161646       @Restrictions on use: Nil       @Copyright: Expired|Army|August 3, 1945.||Zwolle, Netherlands:|Dean, Michael M.|Ceremonies - Openings - 1945/08/03.@Mil. - Units - 2nd Battalion.@Mil. - Units - Royal Cnd Engineers.@Army.
797|3225340|Naval personnel aboard S.S. MISS KELVIN (Harbour Craft 79) with a recovered mine, St. John’s, Newfoundland, 13 July 1942.|a161614-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a161614-v6|Credit: Canada.  Dept. of National Defence / Library and Archives Canada / PA-161614       @Restrictions on use: Nil       @Copyright: Expired|Navy|July 13, 1942||St. John’s, Newfoundland:|Unknown.|Transp. - Water - S.S. MISS KELVIN.@Royal Canadian Navy (R.C.N.)
798|3225341|Ship’s Company of the corvette H.M.C.S. CAMROSE, St. John’s, Newfoundland, 18 July 1942.|a161615-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a161615-v6|Credit: Canada. Dept. of National Defence / Library and Archives Canada / PA-161615       @Restrictions on use: Nil       @Copyright: Expired|Navy|July 18, 1942.||St. John's, Newfoundland, Canada:|Unknown.|Transp. - Water - H.M.C.S. CAMROSE.@Royal Canadian Navy (R.C.N.)
799|3225344|Mrs. Elizabeth Littler, wife of Acting Lieutenant-Commander J.C. Littler, Commanding Officer of H.M.C.S. BRANDON, handing over bundles of magazines supplied by the Navy League of Canada for distribution to Royal Canadian Navy ships in St. John’s, Newfoundland, 28 March 1942.|a161618-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a161618-v6|Credit: Canada.  Dept. of National Defence / Library and Archives Canada / PA-161618       @Restrictions on use: Nil       @Copyright: Expired|Navy|March 28, 1942.||St. John’s, Newfoundland:|Unknown.|Little, Mrs.@Documents - Advertisements.@Royal Canadian Navy (R.C.N.)
800|3225382|Lieutenant W.E. Harrison, Royal Canadian Naval Volunteer Reserve (R.C.N.V.R.), Halifax, Nova Scotia, Canada, December 1943.|a161988-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a161988-v6|Credit: WO Gerald P.B. Murison / Canada.  Dept. of National Defence / Library and Archives Canada / PA-161988       @Restrictions on use: Nil       @Copyright: Library and Archives Canada|Navy|December 1943.||Halifax, Nova Scotia, Canada:|Murison, Gerald Phipps Boydell.|Harrison, W.E.@Mil. - Units - Navy - Royal Canadian Naval Reserve.@Instruments - Geographic.@Royal Canadian Navy (R.C.N.)
801|3225401|Soldiers of the Canadian Army Occupation Force (C.A.O.F.) walking around Aurich, Germany, ca. 26-27 August 1945.|a162830-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a162830-v6|Credit: Lieut. Barney J. Gloster / Canada.  Dept. of National Defence / Library and Archives Canada / PA-162830       @Restrictions on use: Nil       @Copyright: Expired|Army|[ca. August 26-27, 1945].||Aurich, Germany:|Gloster, Barney J.|Mil. - Personnel - 1945/08/26-27.@Germany - Aurich.@Mil. - Ops - Land - 1945/08/26-27.@Black Button Club Center.@Army.
802|3225403|A swimming pool which has been taken over by the Canadian Army Occupation Force (C.A.O.F.), Aurich, Germany, ca. 26-27 August 1945.|a162832-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a162832-v6|Credit: Lieut. Barney J. Gloster / Canada.  Dept. of National Defence / Library and Archives Canada / PA-162832       @Restrictions on use: Nil       @Copyright: Expired|Army|[ca. August 26-27, 1945].||Aurich, Germany:|Gloster, Barney J.|Sports & Amusements - Swimming.@Mil. - Personnel - Recreation.@Germany - Aurich.@Army.
